Semester,School,Count,Major,UG New Regular Transfers,UG Continuing Regular Degree,UG Regular Re-admits,UG Continuing SEEK/CD,UG New Nondegree,UG Continuing Nondegree,UG Permit-in,GRAD New Graduate,UG Regular First-time Freshmen,UG SEEK/CD Re-admits,UG Senior Citizens,UG SEEK/CD New Transfers
Summer 2016,Non-classified,head_count,9999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
Summer 2016,Non-classified,credits,9999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
Summer 2016,Non-classified,fte,9999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
Summer 2016,Zicklin,head_count,ACC-BBA,0.0,1364.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
Summer 2016,Zicklin,credits,ACC-BBA,0.0,7139.5,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
Summer 2016,Zicklin,fte,ACC-BBA,0.0,237.983333333,0.0,4.66666666667,0.0,0.0,0.0,0.0,0.0,0,0.0,0
Summer 2016,Zicklin,head_count,CIS-BBA,0.0,236.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
Summer 2016,Zicklin,credits,CIS-BBA,0.0,1107.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
Summer 2016,Zicklin,fte,CIS-BBA,0.0,36.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
Summer 2016,Zicklin,head_count,ECO-BBA,0.0,61.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
Summer 2016,Zicklin,credits,ECO-BBA,0.0,322.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
Summer 2016,Zicklin,fte,ECO-BBA,0.0,10.7333333333,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0,0.0,0
Summer 2016,Zicklin,head_count,ENTSBM-BBA,0.0,81.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
Summer 2016,Zicklin,credits,ENTSBM-BBA,0.0,456.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
Summer 2016,Zicklin,fte,ENTSBM-BBA,0.0,15.2,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0,0.0,0
Summer 2016,Zicklin,head_count,FIN-BBA,0.0,1138.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
Summer 2016,Zicklin,credits,FIN-BBA,0.0,5747.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
Summer 2016,Zicklin,fte,FIN-BBA,0.0,191.566666667,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0,0.0,0
Summer 2016,Zicklin,head_count,IBS-BBA,0.0,56.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
Summer 2016,Zicklin,credits,IBS-BBA,0.0,255.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
Summer 2016,Zicklin,fte,IBS-BBA,0.0,8.5,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0,0.0,0
Summer 2016,Zicklin,head_count,INDPSY-BBA,0.0,37.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
Summer 2016,Zicklin,credits,INDPSY-BBA,0.0,186.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
Summer 2016,Zicklin,fte,INDPSY-BBA,0.0,6.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0,0.0,0
